Date,temperature,ACPower,date,weekday,time
2019-03-07 13:15:00,22.744,19.35,2019-03-07,3,13:15:00
2019-03-07 13:20:00,21.956,10.31,2019-03-07,3,13:20:00
2019-03-07 13:25:00,21.4,10.58,2019-03-07,3,13:25:00
2019-03-07 13:30:00,21.242,10.55,2019-03-07,3,13:30:00
2019-03-07 13:35:00,20.834,10.27,2019-03-07,3,13:35:00
2019-03-07 13:40:00,20.966,1.0,2019-03-07,3,13:40:00
2019-03-07 13:45:00,21.282,10.42,2019-03-07,3,13:45:00
2019-03-07 13:50:00,21.304,10.4,2019-03-07,3,13:50:00
2019-03-07 13:55:00,21.196,10.28,2019-03-07,3,13:55:00
2019-03-07 14:00:00,20.946,10.14,2019-03-07,3,14:00:00
2019-03-07 14:05:00,20.864,10.24,2019-03-07,3,14:05:00
2019-03-07 14:10:00,20.728,10.19,2019-03-07,3,14:10:00
2019-03-07 14:15:00,20.601999999999997,10.24,2019-03-07,3,14:15:00
2019-03-07 14:20:00,20.56,10.15,2019-03-07,3,14:20:00
2019-03-07 14:25:00,20.794,10.56,2019-03-07,3,14:25:00
2019-03-07 14:30:00,20.804,10.6,2019-03-07,3,14:30:00
2019-03-07 14:35:00,20.758,10.3,2019-03-07,3,14:35:00
2019-03-07 14:40:00,20.818,1.01,2019-03-07,3,14:40:00
2019-03-07 14:45:00,21.14,10.57,2019-03-07,3,14:45:00
2019-03-07 14:50:00,21.137999999999998,10.2,2019-03-07,3,14:50:00
2019-03-07 14:55:00,21.056,10.11,2019-03-07,3,14:55:00
2019-03-07 15:00:00,20.878,10.22,2019-03-07,3,15:00:00
2019-03-07 15:05:00,20.762,10.18,2019-03-07,3,15:05:00
2019-03-07 15:10:00,20.824,10.51,2019-03-07,3,15:10:00
2019-03-07 15:15:00,20.77,10.37,2019-03-07,3,15:15:00
2019-03-07 15:20:00,20.630000000000003,6.25,2019-03-07,3,15:20:00
2019-03-07 15:25:00,20.966,1.01,2019-03-07,3,15:25:00
2019-03-07 15:30:00,21.252000000000002,19.89,2019-03-07,3,15:30:00
2019-03-07 15:35:00,21.43,10.27,2019-03-07,3,15:35:00
2019-03-07 15:40:00,21.024,10.18,2019-03-07,3,15:40:00
2019-03-07 15:45:00,20.832,10.38,2019-03-07,3,15:45:00
2019-03-07 15:50:00,20.78,10.29,2019-03-07,3,15:50:00
2019-03-07 15:55:00,20.625999999999998,10.22,2019-03-07,3,15:55:00
2019-03-07 16:00:00,20.556,10.16,2019-03-07,3,16:00:00
2019-03-07 16:05:00,20.506,10.26,2019-03-07,3,16:05:00
2019-03-07 16:10:00,20.432,10.16,2019-03-07,3,16:10:00
2019-03-07 16:15:00,20.362000000000002,10.14,2019-03-07,3,16:15:00
2019-03-07 16:20:00,20.451999999999998,10.15,2019-03-07,3,16:20:00
