,Floor4Z5,Floor4Z4,Floor6Z4,Floor6Z5,Floor6Z1,Floor4Z2,Floor6Z2,Floor4Z1,Floor5Z5,Floor5Z4,Floor5Z1,Floor5Z2
0,-1000.0,2.4399495828181172,7.141655058784242,3.3051937686003843,3.689838488525478,2.85013166832449,2.893626553267561,2.0469751270309833,2.624703566540474,3.9414371177356555,12.240068658064247,8.270901705882633
1,2.300688551367913,-1000.0,8.37198546032699,3.2836572547175504,4.264206110997943,3.0983656558926005,4.407265550065875,1.1946957330022447,2.9016315397151007,3.8528212937476822,12.49729526243844,10.371314189506911
2,2.884604436345316,4.182749485388641,-1000.0,2.6304191139778097,3.4996113747939517,2.804789616844509,2.650952776710998,3.1076992844425493,3.3558856884713157,3.473659957269996,10.211523703910899,3.6879455377260477
3,2.709044317648809,3.314922517330557,4.38958525459085,-1000.0,5.909676965413813,2.60008329757352,4.670134132892577,2.4393758266907377,2.880394107220976,4.272884946111646,11.008475136789768,9.71219358711108
4,2.0789273553246117,2.5279016722139227,3.500725137230073,3.4638441719002273,-1000.0,2.759974179988818,1.6659543398228691,1.9519904792837566,2.634422749690077,3.336470233391784,11.363532302373526,3.579613839485745
5,5.791808931402634,6.532583887379973,14.540070712171246,5.843986968372696,12.922418812750113,-1000.0,7.822036714914299,4.574609882886178,2.136024623620432,5.079005440373544,9.657651804297792,15.58892102581956
6,2.2415769794890488,3.41677023208935,5.149427315546772,4.537101084437027,2.2029423116752076,2.760042999243159,-1000.0,2.380807729829945,3.1803969193507524,4.077131522654408,12.300015897059277,3.532703853206966
7,2.6195275781806027,1.8720807296665687,9.128920530330184,3.3536727094224226,4.739413573353025,2.969334849111539,4.4424236714963,-1000.0,2.7113351987524967,3.1755146616276306,10.603748932765912,11.354905075999211
8,6.191797795721981,7.034152464753417,16.751065760436745,7.2673126709376525,14.397688573054706,2.133436717235556,9.981818068637395,5.328463103013449,-1000.0,4.199391002743205,9.119882506402512,16.027771749877807
9,6.64518699397664,6.129325048833329,13.245241817294337,6.3946850469114445,11.875543831101329,3.0927776858767717,9.004457133182203,4.4292433449083175,2.9907507265158864,-1000.0,8.99926245706336,12.33339634968682
10,4.4336641092299125,4.832993991574225,6.7278170375289115,4.88095785528191,6.536981101690306,1.4998148525051662,3.8287175012925068,3.528259924248534,2.200779347750183,1.5386680350264912,-1000.0,4.454644950236122
11,4.114028363493811,5.562029828231604,3.867233496715326,4.842300861200653,4.701138866743541,3.093787116103642,2.7178028728673636,4.287936426540347,3.2472436127709203,3.3735276122118267,10.445239323300223,-1000.0
