,forward,installCost,power,noOfSens
0,0.004855654683915238,1200.0,120.0,94
1,0.0009393935709702807,2400.0,240.0,98
2,0.0008683105085190817,3000.0,300.0,95
3,0.002898864925265102,1800.0,180.0,103
4,0.007693430385328801,600.0,60.0,95
