,accuracy,powerConsumed,installCost,noOfSens
3,1.5946064457976337,697.2000000000002,596.0,150
1,1.5521613281519577,738.0000000000002,627.0,158
2,1.467928455704398,748.1,637.0,158
0,1.4646160636948715,754.5000000000001,644.0,162
5,1.4163444557310563,762.1000000000001,647.0,162
4,1.3821626403721055,780.9000000000001,671.0,164
