,forward,installCost,power,backward,noOfSens
0,0.28468808030135156,2400.0,240.0,0.07345230802102184,73
1,0.5846206336591195,600.0,60.0,0.014719551006588456,52
2,0.015015375994838107,600.0,60.0,0.4649035100465005,78
3,0.1915822420904175,2400.0,240.0,0.18770712038161633,93
4,0.3996583578085735,1200.0,120.0,0.02318966880491097,63
5,0.11246704674833052,600.0,60.0,0.2423365531090047,70
6,0.2389679958208287,1800.0,180.0,0.10502666880253185,76
7,0.3317566129791078,1200.0,120.0,0.0436837421863499,68
8,0.25608063617308036,1800.0,180.0,0.09188534391406912,78
9,0.019838481399482074,600.0,60.0,0.35862140439118656,80
10,0.018959677639304333,600.0,60.0,0.4473652385875413,77
11,0.533941714854605,1800.0,180.0,0.01587684765227552,54
12,0.4184304641543535,600.0,60.0,0.01876412906158961,60
13,0.4738078584200152,1800.0,180.0,0.018279773241138362,58
14,0.48186840093113864,600.0,60.0,0.01727259080384351,56
15,0.022562249955376007,600.0,60.0,0.32414078134812335,75
16,0.159905386416296,600.0,60.0,0.21089093768402864,60
17,0.1875743254181701,600.0,60.0,0.20762941585679276,57
18,0.1935792006439309,2400.0,240.0,0.16920975987323691,91
19,0.5532847539660781,600.0,60.0,0.01726385509978261,53
20,0.2043159458658292,1800.0,180.0,0.1496412793120637,82
21,0.19555876824082832,1200.0,120.0,0.1559705112175879,78
22,0.03640929600345046,600.0,60.0,0.3149799983966795,74
23,0.21711342108149465,600.0,60.0,0.20545272193492745,55
24,0.32027073315336857,600.0,60.0,0.052010167082317614,71
25,0.11050645764328688,600.0,60.0,0.2484764239139199,69
26,0.22262354615141355,1200.0,120.0,0.11683884419603557,76
27,0.1554030229505131,600.0,60.0,0.21604733106892604,65
28,0.0451540413547839,600.0,60.0,0.3016141589866801,68
29,0.30856924816584375,2400.0,240.0,0.059730053835925535,71
30,0.37868717355303905,600.0,60.0,0.02987181636487705,62
31,0.36246782469142497,600.0,60.0,0.03129255848319274,65
32,0.02192410071804148,600.0,60.0,0.35609864000694297,77
33,0.05695145730571182,600.0,60.0,0.29247810631569343,68
34,0.21209498957604653,1200.0,120.0,0.13428091416572976,80
35,0.016327808141638825,600.0,60.0,0.4504412428145945,81
36,0.022456252880581066,600.0,60.0,0.33996936114540643,75
37,0.09726525700494511,600.0,60.0,0.25216386153340214,67
38,0.3857639341954135,600.0,60.0,0.02659283994070046,65
39,0.1244327125284387,600.0,60.0,0.24055800904898528,66
40,0.1361349839100657,600.0,60.0,0.22667949599013346,62
41,0.2398758782301588,600.0,60.0,0.1436755204158485,75
42,0.5531344474239056,1200.0,120.0,0.01726385509978261,53
43,0.021927509758482563,600.0,60.0,0.34139438021358154,76
44,0.25571960009631706,600.0,60.0,0.12992452753562783,80
45,0.25956434460199185,600.0,60.0,0.11778412871722553,71
46,0.41142711013343175,600.0,60.0,0.023761359639568644,63
47,0.2925552689344635,600.0,60.0,0.0676463330508088,72
48,0.35472668067621055,600.0,60.0,0.0398313263742209,64
49,0.26560743055269304,600.0,60.0,0.11211174810993073,77
50,0.30251206529425684,1200.0,120.0,0.06076825359908331,68
51,0.34147520160802713,1800.0,180.0,0.037128201693633345,67
52,0.1950590391890745,1200.0,120.0,0.16520570812242777,80
53,0.07664888221700598,600.0,60.0,0.2727724703944198,70
54,0.08889566004601478,600.0,60.0,0.2631288718201536,69
55,0.34389238924687865,600.0,60.0,0.04147460968944987,66
56,0.27061171372316556,1800.0,180.0,0.08633380275551387,76
57,0.09031655024131642,600.0,60.0,0.25628027951486904,69
58,0.3158641716894968,1200.0,120.0,0.04847898601696302,74
59,0.14984605473195714,600.0,60.0,0.22426182462237962,64
60,0.07301983938786856,600.0,60.0,0.2779198310688253,70
61,0.1490846700852684,600.0,60.0,0.22469079919274396,65
62,0.08256896168352272,600.0,60.0,0.27077154700632516,69
63,0.28181046959064227,600.0,60.0,0.08330869538534748,72
64,0.2541697855642141,1800.0,180.0,0.09458663105840352,79
65,0.0852168083173269,600.0,60.0,0.2665892619501321,69
66,0.3341236851059925,600.0,60.0,0.045364843684487045,70
67,0.06323448029658937,600.0,60.0,0.28534272380273756,67
68,0.04391548259035819,600.0,60.0,0.311273109481013,69
69,0.28700374639937803,1200.0,120.0,0.07879398036014208,74
70,0.05024255457617163,600.0,60.0,0.2966466037652156,69
71,0.24682027281798688,600.0,60.0,0.13240237016562983,73
72,0.1279556808330473,600.0,60.0,0.23709085389569187,61
