,forward,backward,installCost,power,noOfSens
0,2.7068618741883963,3.7705766216018035,371.0,132.5,89
1,8.197948022626989,2.197217243913325,742.0,265.0,86
2,3.0447256876118955,1.7167509720893042,1484.0,530.0,99
3,2.840786977827906,3.710795114237678,371.0,132.5,90
4,1.6375026295885533,1.9688228711650346,1855.0,662.5,93
5,2.6548861314275647,3.7965120035614603,742.0,265.0,89
6,2.0607686028138494,1.5238223523548964,1855.0,662.5,96
7,2.7588765198918623,1.4171625127453087,1855.0,662.5,98
8,3.4599842290766163,2.3091983948820487,371.0,132.5,96
9,2.7850010073624336,2.399546311901227,742.0,265.0,92
10,2.609314161870039,3.8549197907196358,742.0,265.0,88
11,2.87097895385603,3.516822171909419,371.0,132.5,87
12,2.8628558875093755,2.355832120435099,742.0,265.0,91
13,3.3568847335958973,2.603681052650887,371.0,132.5,91
14,3.4148520963406632,2.497023232335883,371.0,132.5,96
15,2.9461938880556544,1.9469438207112149,1113.0,397.49999999999994,99
16,2.0888865528047,3.7820486172735914,1484.0,530.0,99
17,3.1179110758986646,1.7181401962257077,1113.0,397.49999999999994,97
18,3.010933961703359,3.3355609391844503,371.0,132.5,80
19,2.9747735858730575,2.2022738301799216,742.0,265.0,91
20,2.529468133603973,4.020578237916563,742.0,265.0,86
21,1.9466555342849041,1.9392448153224906,1855.0,662.5,100
22,2.890453690920865,3.338654489831892,371.0,132.5,83
23,2.7819045083573335,3.758233003293053,742.0,265.0,87
24,2.434400770029978,1.857889624929318,1484.0,530.0,94
25,2.224081377332253,2.1096582857026616,1113.0,397.49999999999994,95
26,3.468142936003502,2.2875070871780165,371.0,132.5,95
27,3.0164533456795954,1.8922176226160534,1113.0,397.49999999999994,96
28,1.6375026295885533,1.9688228711650346,1855.0,662.5,93
