,forward,installCost,power,backward,noOfSens
0,0.6654824590953483,1020.0,340.0,0.026423464311433765,34
1,0.5545363217428451,1260.0,420.0,0.010197367800229005,42
2,0.23934541622267783,2490.0,830.0,0.11608843980750466,83
3,0.011519615539992716,2400.0,800.0,0.6247916132475371,80
4,0.6642446964791073,1050.0,350.0,0.026308832112620893,35
5,0.5565984827671377,1200.0,400.0,0.012726985312760885,40
6,0.017587729713729478,1980.0,660.0,0.5741644267593579,66
7,0.1745904289128651,1110.0,370.0,0.2406140251386465,37
8,0.044878234993248306,1710.0,570.0,0.4600681415025272,57
9,0.016716256535280718,2040.0,680.0,0.5382020726215558,68
10,0.16001699392656657,1470.0,490.0,0.22432798953812902,49
11,0.22692803067566825,2340.0,780.0,0.1365008264785745,78
12,0.44017710057420456,1170.0,390.0,0.03490788007346712,39
13,0.020930040672486702,1950.0,650.0,0.48660176938384847,65
14,0.4101812309004294,1320.0,440.0,0.07777711171174152,44
15,0.011865559157514659,2130.0,710.0,0.5081795045734725,71
16,0.23605137126529088,2430.0,810.0,0.1219014806051306,81
17,0.02252731277142042,1890.0,630.0,0.4384847232583488,63
18,0.04140761626927707,1740.0,580.0,0.4127315253012691,58
19,0.1567778875353858,1320.0,440.0,0.3473418066389664,44
20,0.540608478424997,1200.0,400.0,0.01282254977723194,40
21,0.05710792273569152,1590.0,530.0,0.3580564681157874,53
22,0.19241422342990636,2280.0,760.0,0.19366270806682243,76
23,0.1392640184307794,1530.0,510.0,0.23295076610328744,51
24,0.015318839999157306,2100.0,700.0,0.5511974810767849,70
25,0.38693816909947326,1350.0,450.0,0.04398522236592079,45
26,0.11930193714605326,1380.0,460.0,0.28844671508114667,46
27,0.44857828858409415,1290.0,430.0,0.02604017615024583,43
28,0.1679070959039681,1290.0,430.0,0.21793514974462602,43
29,0.23372649582064223,1080.0,360.0,0.2716827930896229,36
30,0.27195402221428,1770.0,590.0,0.1307829788473662,59
31,0.3626681057207306,1500.0,500.0,0.11134654798290249,50
32,0.4835516770053992,1170.0,390.0,0.0349024676600051,39
33,0.34795449741337686,1650.0,550.0,0.07897842878529825,55
34,0.3675588105725642,1410.0,470.0,0.06806672972634134,47
35,0.021485512085535997,1920.0,640.0,0.43891369782871315,64
36,0.16457554134745353,1350.0,450.0,0.25484199641903676,45
37,0.3416471727000497,1680.0,560.0,0.056982205139302695,56
38,0.27756352031326087,2160.0,720.0,0.09777978235615498,72
39,0.034008270977662895,2070.0,690.0,0.3657478718828118,69
40,0.08541227575455444,1530.0,510.0,0.3411080167301595,51
41,0.06506206440779,1650.0,550.0,0.32673927951203857,55
42,0.015462112358877941,2130.0,710.0,0.4987555576990836,71
43,0.05175834985151501,1620.0,540.0,0.33160741846064273,54
44,0.4260729674648725,1830.0,610.0,0.04139803361985591,61
45,0.12657000224850132,1680.0,560.0,0.25450667725290227,56
46,0.14484039381864136,1440.0,480.0,0.24228171227588893,48
47,0.5261391516728476,1230.0,410.0,0.011058775657283882,41
48,0.30554057981116434,1770.0,590.0,0.09150717024391401,59
49,0.19655769752582472,2190.0,730.0,0.19562406663330298,73
50,0.07220478218898956,1560.0,520.0,0.3771016637498545,52
51,0.38206955708049345,1380.0,460.0,0.08527528077265073,46
52,0.22881323859650518,2070.0,690.0,0.1667766408599054,69
53,0.19207272051818505,2250.0,750.0,0.20448773036528298,75
54,0.06970173378099072,1710.0,570.0,0.29935728402757394,57
55,0.049603621444588235,1800.0,600.0,0.3399673532580843,60
56,0.2359811048886439,2250.0,750.0,0.1555406434540163,75
