,Floor4Z5,Floor4Z4,Floor2Z2,Floor6Z4,Floor6Z5,Floor2Z1,Floor6Z1,Floor4Z2,Floor2Z4,Floor6Z2,Floor4Z1,Floor7Z4,Floor3Z1,Floor7Z5,Floor5Z5,Floor3Z2,Floor5Z4,Floor7Z2,Floor5Z1,Floor7Z1,Floor3Z5,Floor3Z4,Floor5Z2
0,-1000.0,3.054923360062512e-33,0.08618449428202676,9.355702790191444e-33,1.2219693440250049e-32,1.5465549510316467e-32,6.873577560140652e-33,3.054923360062512e-33,3.054923360062512e-33,6.873577560140652e-33,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,1.2219693440250049e-32,9.355702790191444e-33,1.2219693440250049e-32,6.873577560140652e-33,4.773317750097675e-33,0.0007164564898046443,1.2219693440250049e-32,1.2219693440250049e-32,4.773317750097675e-33
1,9.355702790191444e-33,-1000.0,0.08618449428202676,9.355702790191444e-33,1.2219693440250049e-32,1.5465549510316467e-32,6.873577560140652e-33,3.054923360062512e-33,3.054923360062512e-33,6.873577560140652e-33,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,1.2219693440250049e-32,9.355702790191444e-33,1.2219693440250049e-32,6.873577560140652e-33,4.773317750097675e-33,0.0007164564898046443,1.2219693440250049e-32,1.2219693440250049e-32,4.773317750097675e-33
2,8.704871291743343e-33,3.054923360062512e-33,-1000.0,8.704871291743343e-33,1.2007177032593526e-32,1.0210749274121983e-32,6.873577560140652e-33,3.054923360062512e-33,3.054923360062512e-33,6.873577560140652e-33,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,9.961706608899496e-35,8.704871291743343e-33,9.961706608899496e-35,6.873577560140652e-33,4.773317750097675e-33,0.00014527240394411346,1.2007177032593526e-32,1.2007177032593526e-32,4.773317750097675e-33
3,9.355702790191444e-33,3.054923360062512e-33,0.08618449428202676,-1000.0,1.2219693440250049e-32,1.5465549510316467e-32,6.873577560140652e-33,3.054923360062512e-33,3.054923360062512e-33,6.873577560140652e-33,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,1.2219693440250049e-32,9.355702790191444e-33,1.2219693440250049e-32,6.873577560140652e-33,4.773317750097675e-33,0.0007164564898046443,1.2219693440250049e-32,1.2219693440250049e-32,4.773317750097675e-33
4,9.355702790191444e-33,3.054923360062512e-33,0.08618449428202676,9.355702790191444e-33,-1000.0,1.5465549510316467e-32,6.873577560140652e-33,3.054923360062512e-33,3.054923360062512e-33,6.873577560140652e-33,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,1.2219693440250049e-32,9.355702790191444e-33,1.2219693440250049e-32,6.873577560140652e-33,4.773317750097675e-33,0.0007164564898046443,1.2219693440250049e-32,1.2219693440250049e-32,4.773317750097675e-33
5,9.355702790191444e-33,3.054923360062512e-33,0.08618449428202676,9.355702790191444e-33,1.2219693440250049e-32,-1000.0,6.873577560140652e-33,3.054923360062512e-33,3.054923360062512e-33,6.873577560140652e-33,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,1.2219693440250049e-32,9.355702790191444e-33,1.2219693440250049e-32,6.873577560140652e-33,4.773317750097675e-33,0.0007164564898046443,1.2219693440250049e-32,1.2219693440250049e-32,4.773317750097675e-33
6,9.355702790191444e-33,3.054923360062512e-33,0.08618449428202676,9.355702790191444e-33,1.2219693440250049e-32,1.5465549510316467e-32,-1000.0,3.054923360062512e-33,3.054923360062512e-33,6.873577560140652e-33,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,1.2219693440250049e-32,9.355702790191444e-33,1.2219693440250049e-32,6.873577560140652e-33,4.773317750097675e-33,0.0007164564898046443,1.2219693440250049e-32,1.2219693440250049e-32,4.773317750097675e-33
7,9.355702790191444e-33,3.054923360062512e-33,0.08618449428202676,9.355702790191444e-33,1.2219693440250049e-32,1.5465549510316467e-32,6.873577560140652e-33,-1000.0,3.054923360062512e-33,6.873577560140652e-33,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,1.2219693440250049e-32,9.355702790191444e-33,1.2219693440250049e-32,6.873577560140652e-33,4.773317750097675e-33,0.0007164564898046443,1.2219693440250049e-32,1.2219693440250049e-32,4.773317750097675e-33
8,9.355702790191444e-33,3.054923360062512e-33,0.08618449428202676,9.355702790191444e-33,1.2219693440250049e-32,1.5465549510316467e-32,6.873577560140652e-33,3.054923360062512e-33,-1000.0,6.873577560140652e-33,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,1.2219693440250049e-32,9.355702790191444e-33,1.2219693440250049e-32,6.873577560140652e-33,4.773317750097675e-33,0.0007164564898046443,1.2219693440250049e-32,1.2219693440250049e-32,4.773317750097675e-33
9,9.355702790191444e-33,3.054923360062512e-33,0.08618449428202676,9.355702790191444e-33,1.2219693440250049e-32,1.5465549510316467e-32,6.873577560140652e-33,3.054923360062512e-33,3.054923360062512e-33,-1000.0,3.054923360062512e-33,9.355702790191444e-33,9.355702790191444e-33,9.355702790191444e-33,1.2219693440250049e-32,9.355702790191444e-33,1.2219693440250049e-32,6.873577560140652e-33,4.773317750097675e-33,0.0007164564898046443,1.2219693440250049e-32,1.2219693440250049e-32,4.773317750097675e-33
