,network,live,noOfSens
0,0.01787792235269227,1.0849383590334134e-15,121
1,0.020628371945414153,9.809634721807232e-16,121
2,0.021051518036602136,9.4147248517756e-16,122
3,0.014704326668782398,1.2127033169848239e-15,118
4,0.0170316301703163,1.1058453521527352e-15,120
