,Floor4Z5,Floor4Z4,Floor2Z2,Floor6Z4,Floor6Z5,Floor2Z1,Floor6Z1,Floor4Z2,Floor2Z4,Floor6Z2,Floor4Z1,Floor7Z4,Floor3Z1,Floor7Z5,Floor5Z5,Floor3Z2,Floor5Z4,Floor7Z2,Floor5Z1,Floor7Z1,Floor3Z5,Floor3Z4,Floor5Z2
0,-1000.0,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
1,1.035815658618825e-15,-1000.0,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
2,0.0,1.0462784430493185e-17,-1000.0,0.0,5.769478271671953e-16,1.4647898202690444e-16,1.9430885370915905e-17,1.0462784430493185e-17,1.0462784430493185e-17,1.9430885370915905e-17,1.0462784430493185e-17,8.430014883997364e-16,8.430014883997364e-16,8.430014883997364e-16,3.437772027162044e-17,0.0,3.437772027162044e-17,1.9430885370915905e-17,4.484050470211364e-17,0.04213397528042277,5.769478271671953e-16,5.769478271671953e-16,4.484050470211364e-17
3,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,-1000.0,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
4,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,-1000.0,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
5,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,-1000.0,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
6,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,-1000.0,5.918946620679002e-16,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
7,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,-1000.0,5.918946620679002e-16,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
8,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,-1000.0,8.878419931018502e-16,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
9,1.035815658618825e-15,5.918946620679002e-16,2.346434640277921,1.035815658618825e-15,1.0358156586188242e-15,1.1837893241357991e-15,8.878419931018502e-16,5.918946620679002e-16,5.918946620679002e-16,-1000.0,5.918946620679002e-16,8.878419931018502e-16,8.878419931018502e-16,8.878419931018502e-16,1.0358156586188242e-15,1.035815658618825e-15,1.0358156586188242e-15,8.878419931018502e-16,7.39868327584875e-16,0.32495333851653696,1.0358156586188242e-15,1.0358156586188242e-15,7.39868327584875e-16
