,forward,installCost,power,backward,noOfSens
0,0.031979220861705966,2760.0,920.0,0.9262070093994624,67
1,0.1948067462963036,4320.0,1440.0,0.2439547371791336,92
2,0.4783523017609351,2250.0,750.0,0.020645668085502878,47
3,0.834613581175971,1620.0,540.0,0.031053733473041762,35
4,0.012660913514376787,3480.0,1160.0,0.7459504027296299,78
5,0.5530499055316381,1440.0,480.0,0.2353004731044029,32
6,0.5882719347877143,1710.0,570.0,0.03571018029246576,38
7,0.042635969991989875,2370.0,790.0,0.6477325783053319,60
8,0.017710155698663924,3210.0,1070.0,0.7914147026503485,75
9,0.021458507134720323,3150.0,1050.0,0.4595850910877331,73
10,0.20133765065340584,4200.0,1400.0,0.22141897269105412,89
11,0.07406802651066764,1950.0,650.0,0.3164760586721825,46
12,0.2124669110087826,4050.0,1350.0,0.1636748499431706,88
13,0.6753650522916156,1800.0,600.0,0.0356321079409466,39
14,0.05016641245964621,2340.0,780.0,0.8556636632303055,60
15,0.7500339263375047,1680.0,560.0,0.031053733473041762,36
16,0.05703105409196963,2190.0,730.0,0.5658057485004641,54
17,0.4832050425135453,1530.0,510.0,0.2200465346807805,35
18,0.019998409941554277,3060.0,1020.0,0.6855453774638618,72
19,0.4247402237318038,2460.0,820.0,0.03906346332307303,55
20,0.03402674909666856,2790.0,930.0,0.5999554494038161,68
21,0.028573491695498696,2850.0,950.0,0.7515676039645941,68
22,0.07195985525821436,2130.0,710.0,0.7288571019919345,56
23,0.020981339926527967,3090.0,1030.0,0.5248112648365075,71
24,0.7835316646526832,1650.0,550.0,0.033945607886996805,36
25,0.3449612891615475,2730.0,910.0,0.0628015768449366,60
26,0.2925617854229313,2490.0,830.0,0.10233394511932953,55
27,0.4045467086802808,2040.0,680.0,0.07997008766710094,46
28,0.04079679608543989,2610.0,870.0,0.43623153224046013,62
29,0.20716402132704415,3900.0,1300.0,0.20254257654052868,83
30,0.1804548242915619,1770.0,590.0,0.3733235767083587,42
31,0.32898512071859665,2220.0,740.0,0.06319435363249908,48
32,0.3790327360171383,2280.0,760.0,0.053849785398524225,51
33,0.18946961810825316,1860.0,620.0,0.2753377303134988,43
34,0.7181914139994351,1650.0,550.0,0.036360650655198556,36
35,0.29601873305684584,3000.0,1000.0,0.09161953140835155,64
36,0.023742935857879014,3450.0,1150.0,0.3897734917250797,79
37,0.20802920541475708,3930.0,1310.0,0.18614926525907052,86
